"PEAK_TIME","AREA.x","SITE","MONTH","TIME","LINE","DATE_HPLC","ROW","PPCP","AREA.y","AREA","CONCENTRATION"
9.00415515899658,2189.0498046875,"SA","SEPTEMBER","01","P2LINEA","20181008","ROW4","caffeine",0,2189.0498046875,0.804682562094571
8.99653053283692,4507.15185546875,"SA","SEPTEMBER","15","LINEC","20181008","ROW4","caffeine",0,4507.15185546875,2.04151007431175
9.11527538299561,2723.17504882813,"SJ","AUGUST","10","P2LINEA","20181008","ROW4","caffeine",0,2723.17504882813,1.06624868396078
9.1343297958374,3070.57861328125,"SJ","JULY","26","LINED","20181008","ROW4","caffeine",0,3070.57861328125,1.24474116166711
9.13727855682373,1144.33959960938,"SJ",NA,"25","LINEF","20181008","ROW4","caffeine",0,1144.33959960938,0.348722164605711
9.36549472808838,7776.61767578125,"SJ","SEPTEMBER","16","LINEE","20181008","ROW4","caffeine",0,7776.61767578125,4.12409322009455
9.04850578308106,17616.880859375,"SJ","SEPTEMBER","30","LINEC","20181008","ROW4","caffeine",0,17616.880859375,11.8343135786223
9.15648365020752,4040.2470703125,"WB","AUGUST","20","LINEF","20181008","ROW4","caffeine",0,4040.2470703125,1.77307001390004
9.03595542907715,2385.3154296875,"WB","JULY","26","LINEB","20181008","ROW4","caffeine",0,2385.3154296875,0.89886810285031
9.00014209747315,1828.69201660156,"WB",NA,"24","LINEC","20181008","ROW4","caffeine",0,1828.69201660156,0.638153507075845
9.34629726409912,6827.7109375,"WB","SEPTEMBER","19","P2LINEB","20181008","ROW4","caffeine",0,6827.7109375,3.48717107155698
9.28567504882813,1803.50463867188,"WF","AUGUST","19","P2LINEC","20181008","ROW4","caffeine",0,1803.50463867188,0.626845363878143
9.22536754608155,7184.4384765625,"WF",NA,"23","LINED","20181008","ROW4","caffeine",0,7184.4384765625,3.72379316118893
8.95701026916504,3921.83056640625,"WS","AUGUST","19","P2LINEA","20181008","ROW4","caffeine",0,3921.83056640625,1.706363937639
9.15059661865235,4731.6376953125,"WS","AUGUST","20","LINEF","20181008","ROW4","caffeine",0,4731.6376953125,2.17352111881299
9.04408073425293,1935.94580078125,"WS","JULY","27","LINEC","20181008","ROW4","caffeine",0,1935.94580078125,0.686806154400105
9.1367416381836,4513.63427734375,"WS","JUNE","28","LINED","20181008","ROW4","caffeine",0,4513.63427734375,2.04529597351432
9.20334529876709,7004.87109375,"WS",NA,"25","LINEE","20181008","ROW4","caffeine",0,7004.87109375,3.60424829596283
9.22529697418213,2500.77514648438,"WS","SEPTEMBER","26","LINEE","20181008","ROW4","caffeine",0,2500.77514648438,0.955344524643082
8.97523307800293,3445.724609375,"WS","SEPTEMBER","30","LINEB","20181008","ROW4","caffeine",0,3445.724609375,1.44415120224466
8.84183502197266,3438.87915039063,"WS",NA,"XX","LINEB","20181008","ROW4","caffeine",0,3438.87915039063,1.44045375456005
8.93405818939209,2598.14819335938,"YB","AUGUST","28","P2LINEB","20181008","ROW4","caffeine",0,2598.14819335938,1.00356504451278
9.17720413208008,2272.42041015625,"YB","JULY","18","LINEF","20181008","ROW4","caffeine",0,2272.42041015625,0.844405139319765
9.13984966278076,1976.73889160157,"YB","JULY","27","LINED","20181008","ROW4","caffeine",0,1976.73889160157,0.70551875306584
9.3707504272461,4208.56689453125,"YB","JUNE","11","LINEE","20181008","ROW4","caffeine",0,4208.56689453125,1.86886170262643
9.00831699371338,1823.85925292969,"YB","SEPTEMBER","14","P2LINEA","20181008","ROW4","caffeine",0,1823.85925292969,0.635980274210082
9.25017833709717,41136.09375,"YB","SEPTEMBER","20","P2LINEB","20181008","ROW4","caffeine",0,41136.09375,35.3115663732942
19.5838470458985,2794.5927734375,"BB","AUGUST","29","P2LINEB","20181008","ROW3","carbamezapine",0,2794.5927734375,0.000109612403883776
