"","PEAK_TIME","AREA.x","SITE","MONTH","TIME","LINE","DATE_HPLC","ROW","PPCP","AREA.y","AREA","CONCENTRATION"
"41",8.9004077911377,105413.328125,"SA","AUGUST","1","LINEE","20180919","ROW4","caffeine",0,105413.328125,47.5276534905004
"42",9.12341976165772,6457.0830078125,"SA","JULY","1","LINED","20180919","ROW4","caffeine",0,6457.0830078125,0.372074167424722
"43",9.11460876464844,10185.43359375,"SA","JUNE","1","LINEB","20180917","ROW4","caffeine",0,10185.43359375,0.821085362820289
"44",8.95195388793946,11441.3662109375,"SA","SEPTEMBER","1","LINEF","20180920","ROW4","caffeine",0,11441.3662109375,1.00481591213856
"45",9.11042976379395,3115.91333007813,"SJ","AUGUST","1","LINEE","20180919","ROW4","caffeine",0,3115.91333007813,0.104969610085582
"46",9.11572456359863,9659.1845703125,"SJ","JULY","1","LINED","20180919","ROW4","caffeine",0,9659.1845703125,0.748820003000724
"47",9.27481746673584,17971.890625,"SJ","JUNE","1","LINEC","20180918","ROW4","caffeine",0,17971.890625,2.2012631133446
"48",9.10027313232422,5932.1201171875,"SJ","SEPTEMBER","1","LINED","20180919","ROW4","caffeine",0,5932.1201171875,0.321125461687999
"49",9.11816692352295,5501.0703125,"WB","JULY","1","LINED","20180919","ROW4","caffeine",0,5501.0703125,0.281693738480853
"50",8.94219207763672,5463.39404296875,"WB","JUNE","1","LINEC","20180918","ROW4","caffeine",0,5463.39404296875,0.278351683329326
"51",9.06175708770752,1470.89025878906,"WB","SEPTEMBER","1","LINEC","20180918","ROW4","caffeine",0,1470.89025878906,0.0285039788605596
"52",9.12075233459473,4310.01953125,"WF","AUGUST","1","P2LINEA","20180920","ROW4","caffeine",0,4310.01953125,0.184394304547605
"53",9.34061431884766,16378.0615234375,"WF","JULY","1","LINEB","20180918","ROW4","caffeine",0,16378.0615234375,1.87339989735858
"54",9.29018020629883,2203.15405273438,"WF","JUNE","1","LINEB","20180918","ROW4","caffeine",0,2203.15405273438,0.0574945657125664
"55",8.97803401947022,2399.13916015625,"WF","SEPTEMBER","1","LINEE","20180919","ROW4","caffeine",0,2399.13916015625,0.0666655342211954
"56",9.05772018432618,4003.11572265625,"WS","AUGUST","1","LINED","20180919","ROW4","caffeine",0,4003.11572265625,0.162193609860297
"57",9.08244705200196,3249.79565429688,"WS","JULY","1","LINED","20180919","ROW4","caffeine",0,3249.79565429688,0.112925869570246
