PEAK_TIME,AREA.x,SITE,MONTH,TIME,LINE,DATE_HPLC,ROW,PPCP,AREA.y,AREA,CONCENTRATION
19.58019638,12674.39941,FLBS,JULY,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-9948.887695,NA
19.57131767,4856.705078,FLBS,JUNE,2,LINEF,20180902,ROW3,carbamezapine,0,4856.705078,0.001833025
19.57665062,8486.588867,FLBS,SEPTEMBER,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-91057.05176,NA
19.5734539,5413.788574,HO,AUGUST,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-5079.622559,NA
19.57299232,7420.545898,HO,JULY,2,LINEC,20180901,ROW3,carbamezapine,11474.87402,-4054.328125,NA
19.57601357,2742.208008,HO,JUNE,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-19881.0791,NA
19.57262993,5581.549805,HO,SEPTEMBER,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-17041.7373,NA
19.5645771,7348.938965,LK,AUGUST,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-92194.70166,NA
19.5661602,10001.50586,LK,JULY,2,LINEC,20180901,ROW3,carbamezapine,11474.87402,-1473.368164,NA
19.57204628,4853.885254,LK,JUNE,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-17769.40186,NA
19.56924248,6797.394043,LK,SEPTEMBER,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-3696.01709,NA
19.59150314,3629.466553,SA,AUGUST,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-6863.94458,NA
19.57566833,6562.977539,SA,JULY,2,LINEF,20180902,ROW3,carbamezapine,0,6562.977539,0.003645121
19.58767128,3421.298584,SA,JUNE,2,LINEE,20180901,ROW3,carbamezapine,22623.28711,-19201.98853,NA
19.6035862,6037.307129,SA,SEPTEMBER,2,LINEC,20180831,ROW3,carbamezapine,11474.87402,-5437.566895,NA
19.58883476,8295.155273,SJ,AUGUST,2,LINEF,20180902,ROW3,carbamezapine,0,8295.155273,0.006222469
19.58819962,6264.75,SJ,JULY,2,LINEF,20180902,ROW3,carbamezapine,0,6264.75,0.003277922
19.58782005,4564.724121,SJ,JUNE,2,LINEF,20180902,ROW3,carbamezapine,0,4564.724121,0.00159107
19.57678986,8327.078125,SJ,SEPTEMBER,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-91216.5625,NA
19.58485794,5243.574219,WB,AUGUST,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-5249.836914,NA
19.58416748,11160.9668,WB,JULY,2,LINEF,20180902,ROW3,carbamezapine,0,11160.9668,0.012252076
19.56749916,8540.639648,WB,SEPTEMBER,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-91003.00098,NA
19.57966805,5139.230469,WF,AUGUST,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-5354.180664,NA
19.57297325,10169.75586,WF,JULY,2,LINEF,20180902,ROW3,carbamezapine,0,10169.75586,0.009908093
19.5833149,3864.553955,WF,JUNE,2,P2LINE4,20180903,ROW3,carbamezapine,0,3864.553955,0.001087884
19.57696152,5207.61377,WS,AUGUST,2,LINEC,20180901,ROW3,carbamezapine,11474.87402,-6267.260254,NA
19.57715797,12077.79297,WS,JULY,2,P2LINEA,20180903,ROW3,carbamezapine,0,12077.79297,0.014672003
19.57289696,4380.228516,WS,JUNE,2,LINEF,20180902,ROW3,carbamezapine,0,4380.228516,0.001448039
19.57384491,3526.134033,YB,AUGUST,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-6967.2771,NA
19.58152008,10356.37988,YB,JULY,2,LINEF,20180902,ROW3,carbamezapine,0,10356.37988,0.010328117
19.57660294,5802.954102,YB,JUNE,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-4690.457031,NA
